x,y,min,mean,max
2,2,0.0,5.340576171875e-07,1.1920928955078125e-06
3,2,0.0,5.435943603515625e-07,1.1920928955078125e-06
3,3,0.0,5.53131103515625e-07,1.1920928955078125e-06
4,2,0.0,5.14984130859375e-07,1.1920928955078125e-06
4,3,0.0,3.604888916015625e-06,7.510185241699219e-05
4,4,0.0,5.53131103515625e-07,1.1920928955078125e-06
5,2,0.0,4.863739013671875e-07,1.1920928955078125e-06
5,3,0.0,5.817413330078125e-07,1.1920928955078125e-06
5,4,0.0,6.008148193359375e-07,1.1920928955078125e-06
5,5,0.0,5.435943603515625e-07,1.1920928955078125e-06
6,2,0.0,5.53131103515625e-07,1.1920928955078125e-06
6,3,0.0,4.9591064453125e-07,1.1920928955078125e-06
6,4,0.0,4.57763671875e-07,1.1920928955078125e-06
6,5,0.0,6.008148193359375e-07,1.1920928955078125e-06
6,6,0.0,4.57763671875e-07,1.1920928955078125e-06
7,2,0.0,3.16619873046875e-06,6.508827209472656e-05
7,3,0.0,4.863739013671875e-07,1.1920928955078125e-06
7,4,0.0,6.103515625e-07,1.1920928955078125e-06
7,5,0.0,5.245208740234375e-07,1.1920928955078125e-06
7,6,0.0,6.4849853515625e-07,1.1920928955078125e-06
7,7,0.0,2.9754638671875e-06,5.984306335449219e-05
8,2,0.0,5.7220458984375e-07,1.1920928955078125e-06
8,3,0.0,5.7220458984375e-07,1.1920928955078125e-06
8,4,0.0,5.91278076171875e-07,1.1920928955078125e-06
8,5,0.0,5.53131103515625e-07,1.1920928955078125e-06
8,6,0.0,2.93731689453125e-06,6.079673767089844e-05
8,7,0.0,5.53131103515625e-07,1.1920928955078125e-06
8,8,0.0,4.38690185546875e-07,1.1920928955078125e-06
9,2,0.0,5.53131103515625e-07,1.1920928955078125e-06
9,3,0.0,5.817413330078125e-07,1.1920928955078125e-06
9,4,0.0,3.0422210693359374e-06,6.079673767089844e-05
9,5,0.0,5.7220458984375e-07,1.1920928955078125e-06
9,6,0.0,5.53131103515625e-07,1.1920928955078125e-06
9,7,0.0,5.7220458984375e-07,1.1920928955078125e-06
9,8,0.0,6.103515625e-07,1.1920928955078125e-06
9,9,0.0,3.1280517578125e-06,6.699562072753906e-05
10,2,0.0,4.76837158203125e-07,1.1920928955078125e-06
10,3,0.0,6.008148193359375e-07,1.1920928955078125e-06
10,4,0.0,5.245208740234375e-07,1.1920928955078125e-06
10,5,0.0,6.29425048828125e-07,1.1920928955078125e-06
10,6,0.0,3.032684326171875e-06,6.389617919921875e-05
10,7,0.0,5.91278076171875e-07,1.1920928955078125e-06
10,8,0.0,5.14984130859375e-07,1.1920928955078125e-06
10,9,0.0,5.245208740234375e-07,1.1920928955078125e-06
10,10,0.0,5.626678466796875e-07,1.1920928955078125e-06
11,2,0.0,5.53131103515625e-07,1.1920928955078125e-06
11,3,0.0,3.1185150146484375e-06,6.604194641113281e-05
11,4,0.0,5.53131103515625e-07,1.1920928955078125e-06
11,5,0.0,4.9591064453125e-07,1.1920928955078125e-06
11,6,0.0,5.91278076171875e-07,1.1920928955078125e-06
11,7,0.0,5.14984130859375e-07,1.1920928955078125e-06
11,8,0.0,2.8896331787109373e-06,6.198883056640625e-05
11,9,0.0,5.340576171875e-07,1.1920928955078125e-06
11,10,0.0,5.626678466796875e-07,1.1920928955078125e-06
11,11,0.0,5.626678466796875e-07,1.1920928955078125e-06
12,2,0.0,6.389617919921875e-07,1.1920928955078125e-06
12,3,0.0,4.15802001953125e-06,8.797645568847656e-05
12,4,0.0,4.1961669921875e-07,1.1920928955078125e-06
12,5,0.0,5.91278076171875e-07,1.1920928955078125e-06
12,6,0.0,4.76837158203125e-07,1.1920928955078125e-06
12,7,0.0,5.91278076171875e-07,1.1920928955078125e-06
12,8,0.0,3.0422210693359374e-06,6.389617919921875e-05
12,9,0.0,5.435943603515625e-07,1.1920928955078125e-06
12,10,0.0,5.53131103515625e-07,1.1920928955078125e-06
12,11,0.0,5.53131103515625e-07,1.1920928955078125e-06
12,12,0.0,6.008148193359375e-07,1.1920928955078125e-06
13,2,0.0,3.1757354736328126e-06,6.699562072753906e-05
13,3,0.0,5.245208740234375e-07,1.1920928955078125e-06
13,4,0.0,5.7220458984375e-07,1.1920928955078125e-06
13,5,0.0,5.340576171875e-07,1.1920928955078125e-06
13,6,0.0,5.817413330078125e-07,1.1920928955078125e-06
13,7,0.0,3.0517578125e-06,6.413459777832031e-05
13,8,0.0,5.245208740234375e-07,1.1920928955078125e-06
13,9,0.0,5.626678466796875e-07,1.1920928955078125e-06
13,10,0.0,5.53131103515625e-07,1.1920928955078125e-06
13,11,0.0,5.53131103515625e-07,1.1920928955078125e-06
13,12,0.0,5.435943603515625e-07,1.1920928955078125e-06
13,13,0.0,3.0612945556640625e-06,6.604194641113281e-05
14,2,0.0,6.103515625e-07,1.1920928955078125e-06
14,3,0.0,5.7220458984375e-07,1.1920928955078125e-06
14,4,0.0,5.626678466796875e-07,1.1920928955078125e-06
14,5,0.0,5.7220458984375e-07,1.1920928955078125e-06
14,6,0.0,3.2138824462890626e-06,6.604194641113281e-05
14,7,0.0,5.435943603515625e-07,1.1920928955078125e-06
14,8,0.0,4.673004150390625e-07,1.1920928955078125e-06
14,9,0.0,6.29425048828125e-07,1.1920928955078125e-06
14,10,0.0,6.008148193359375e-07,1.1920928955078125e-06
14,11,0.0,3.1566619873046876e-06,6.389617919921875e-05
14,12,0.0,4.76837158203125e-07,1.1920928955078125e-06
14,13,0.0,4.9591064453125e-07,1.1920928955078125e-06
14,14,0.0,5.245208740234375e-07,1.1920928955078125e-06
15,2,0.0,5.626678466796875e-07,1.1920928955078125e-06
15,3,0.0,3.1185150146484375e-06,6.413459777832031e-05
15,4,0.0,6.103515625e-07,1.1920928955078125e-06
15,5,0.0,6.008148193359375e-07,1.1920928955078125e-06
15,6,0.0,5.245208740234375e-07,1.1920928955078125e-06
15,7,0.0,5.91278076171875e-07,1.1920928955078125e-06
15,8,0.0,3.1185150146484375e-06,6.556510925292969e-05
15,9,0.0,5.626678466796875e-07,1.1920928955078125e-06
15,10,0.0,5.14984130859375e-07,1.1920928955078125e-06
15,11,0.0,6.29425048828125e-07,1.1920928955078125e-06
15,12,0.0,5.14984130859375e-07,1.1920928955078125e-06
15,13,0.0,3.01361083984375e-06,6.341934204101562e-05
15,14,0.0,5.435943603515625e-07,1.1920928955078125e-06
15,15,0.0,4.9591064453125e-07,1.1920928955078125e-06
16,2,0.0,5.340576171875e-07,1.1920928955078125e-06
16,3,0.0,5.91278076171875e-07,1.1920928955078125e-06
16,4,0.0,3.3664703369140623e-06,7.009506225585938e-05
16,5,0.0,5.14984130859375e-07,1.1920928955078125e-06
16,6,0.0,6.008148193359375e-07,1.1920928955078125e-06
16,7,0.0,5.626678466796875e-07,1.1920928955078125e-06
16,8,0.0,5.245208740234375e-07,1.1920928955078125e-06
16,9,0.0,5.626678466796875e-07,1.1920928955078125e-06
16,10,0.0,3.0231475830078124e-06,6.389617919921875e-05
16,11,0.0,4.57763671875e-07,1.1920928955078125e-06
16,12,0.0,6.008148193359375e-07,1.1920928955078125e-06
16,13,0.0,5.91278076171875e-07,1.1920928955078125e-06
16,14,0.0,6.008148193359375e-07,1.1920928955078125e-06
16,15,0.0,4.119873046875e-06,8.988380432128906e-05
16,16,0.0,5.14984130859375e-07,1.1920928955078125e-06
17,2,0.0,6.103515625e-07,1.1920928955078125e-06
17,3,0.0,6.103515625e-07,1.1920928955078125e-06
17,4,0.0,6.008148193359375e-07,1.1920928955078125e-06
17,5,0.0,3.2901763916015627e-06,6.67572021484375e-05
17,6,0.0,5.7220458984375e-07,1.1920928955078125e-06
17,7,0.0,5.626678466796875e-07,1.1920928955078125e-06
17,8,0.0,5.626678466796875e-07,1.1920928955078125e-06
17,9,0.0,6.4849853515625e-07,1.1920928955078125e-06
17,10,0.0,3.2329559326171876e-06,6.4849853515625e-05
17,11,0.0,5.14984130859375e-07,1.1920928955078125e-06
17,12,0.0,6.103515625e-07,1.1920928955078125e-06
17,13,0.0,5.340576171875e-07,1.1920928955078125e-06
17,14,0.0,5.91278076171875e-07,1.1920928955078125e-06
17,15,0.0,3.1566619873046876e-06,6.413459777832031e-05
17,16,0.0,6.4849853515625e-07,1.1920928955078125e-06
17,17,0.0,5.626678466796875e-07,1.1920928955078125e-06
18,2,0.0,5.53131103515625e-07,1.1920928955078125e-06
18,3,0.0,4.291534423828125e-07,1.1920928955078125e-06
18,4,0.0,3.2901763916015627e-06,6.985664367675781e-05
18,5,0.0,5.53131103515625e-07,1.1920928955078125e-06
18,6,0.0,5.054473876953125e-07,1.1920928955078125e-06
18,7,0.0,6.008148193359375e-07,1.1920928955078125e-06
18,8,0.0,5.53131103515625e-07,1.1920928955078125e-06
18,9,0.0,6.008148193359375e-07,1.1920928955078125e-06
18,10,0.0,3.2711029052734377e-06,6.794929504394531e-05
18,11,0.0,5.7220458984375e-07,1.1920928955078125e-06
18,12,0.0,5.626678466796875e-07,1.1920928955078125e-06
18,13,0.0,5.53131103515625e-07,1.1920928955078125e-06
18,14,0.0,4.482269287109375e-07,1.1920928955078125e-06
