x,min,mean,max
5,0.0,2.8133392333984377e-06,5.2928924560546875e-05
6,0.0,4.76837158203125e-07,1.1920928955078125e-06
7,0.0,4.863739013671875e-07,1.1920928955078125e-06
8,0.0,7.724761962890626e-07,4.0531158447265625e-06
9,0.0,5.91278076171875e-07,2.1457672119140625e-06
10,0.0,3.032684326171875e-06,6.29425048828125e-05
11,0.0,5.7220458984375e-07,1.1920928955078125e-06
12,0.0,5.245208740234375e-07,1.1920928955078125e-06
13,0.0,5.7220458984375e-07,1.1920928955078125e-06
14,0.0,5.340576171875e-07,1.1920928955078125e-06
15,0.0,3.1280517578125e-06,6.604194641113281e-05
16,0.0,5.7220458984375e-07,1.1920928955078125e-06
17,0.0,5.14984130859375e-07,1.1920928955078125e-06
18,0.0,5.91278076171875e-07,1.1920928955078125e-06
19,0.0,3.1566619873046876e-06,6.604194641113281e-05
20,0.0,5.7220458984375e-07,1.1920928955078125e-06
21,0.0,6.008148193359375e-07,1.1920928955078125e-06
22,0.0,5.435943603515625e-07,1.1920928955078125e-06
23,0.0,4.76837158203125e-07,1.1920928955078125e-06
24,0.0,6.647109985351562e-06,0.00015473365783691406
25,0.0,5.53131103515625e-07,1.1920928955078125e-06
26,0.0,4.673004150390625e-07,1.1920928955078125e-06
27,0.0,4.863739013671875e-07,1.1920928955078125e-06
28,0.0,3.0612945556640625e-06,6.389617919921875e-05
29,0.0,4.673004150390625e-07,1.1920928955078125e-06
30,0.0,5.626678466796875e-07,1.1920928955078125e-06
31,0.0,5.245208740234375e-07,1.1920928955078125e-06
32,0.0,5.626678466796875e-07,1.1920928955078125e-06
33,0.0,3.070831298828125e-06,6.818771362304688e-05
34,0.0,5.14984130859375e-07,1.1920928955078125e-06
35,0.0,5.14984130859375e-07,1.1920928955078125e-06
36,0.0,5.245208740234375e-07,1.1920928955078125e-06
37,0.0,3.24249267578125e-06,6.604194641113281e-05
38,0.0,5.245208740234375e-07,1.1920928955078125e-06
