x,min,mean,max
3,1.6689300537109375e-06,4.177093505859375e-06,1.2874603271484375e-05
4,1.9073486328125e-06,3.39508056640625e-06,6.198883056640625e-06
5,1.6689300537109375e-06,7.781982421875e-06,0.00011181831359863281
6,1.6689300537109375e-06,3.2329559326171876e-06,7.152557373046875e-06
7,1.9073486328125e-06,3.1948089599609376e-06,6.198883056640625e-06
8,1.9073486328125e-06,3.108978271484375e-06,8.821487426757812e-06
9,1.6689300537109375e-06,0.0001136016845703125,0.002688169479370117
10,1.6689300537109375e-06,3.147125244140625e-06,7.152557373046875e-06
11,9.5367431640625e-07,3.6907196044921876e-06,6.9141387939453125e-06
12,1.9073486328125e-06,3.070831298828125e-06,5.9604644775390625e-06
13,1.6689300537109375e-06,3.35693359375e-06,7.152557373046875e-06
14,1.9073486328125e-06,1.9550323486328125e-05,0.0004019737243652344
15,1.6689300537109375e-06,3.4332275390625e-06,7.152557373046875e-06
16,9.5367431640625e-07,5.8746337890625e-06,6.890296936035156e-05
17,1.6689300537109375e-06,3.5953521728515625e-06,8.821487426757812e-06
18,1.9073486328125e-06,1.0213851928710938e-05,0.00015616416931152344
19,1.6689300537109375e-06,2.956390380859375e-06,6.198883056640625e-06
20,1.6689300537109375e-06,3.223419189453125e-06,6.198883056640625e-06
21,9.5367431640625e-07,3.62396240234375e-06,6.9141387939453125e-06
22,1.1920928955078125e-06,3.3092498779296877e-06,6.198883056640625e-06
23,1.1920928955078125e-06,9.241104125976562e-06,0.00011491775512695312
24,1.6689300537109375e-06,2.880096435546875e-06,5.9604644775390625e-06
25,1.6689300537109375e-06,3.414154052734375e-06,5.9604644775390625e-06
26,1.6689300537109375e-06,4.100799560546875e-06,1.9073486328125e-05
27,1.6689300537109375e-06,8.459091186523437e-06,0.0001251697540283203
28,1.6689300537109375e-06,2.9087066650390623e-06,6.198883056640625e-06
29,9.5367431640625e-07,3.147125244140625e-06,6.9141387939453125e-06
30,1.6689300537109375e-06,3.5858154296875e-06,6.9141387939453125e-06
31,1.6689300537109375e-06,3.4236907958984374e-05,0.0006468296051025391
32,1.6689300537109375e-06,1.09100341796875e-05,0.0001952648162841797
33,1.6689300537109375e-06,3.108978271484375e-06,6.198883056640625e-06
34,1.6689300537109375e-06,4.110336303710937e-06,6.9141387939453125e-06
35,1.6689300537109375e-06,3.0517578125e-06,6.9141387939453125e-06
36,1.9073486328125e-06,8.001327514648438e-06,0.00011396408081054688
37,1.6689300537109375e-06,3.032684326171875e-06,6.198883056640625e-06
38,9.5367431640625e-07,1.3494491577148438e-05,0.0002262592315673828
39,7.152557373046875e-07,1.0776519775390626e-05,0.0002028942108154297
40,9.5367431640625e-07,1.0042190551757812e-05,0.00011920928955078125
41,9.5367431640625e-07,3.1948089599609376e-06,7.867813110351562e-06
42,9.5367431640625e-07,2.689361572265625e-06,5.9604644775390625e-06
43,1.6689300537109375e-06,3.681182861328125e-06,7.152557373046875e-06
44,1.6689300537109375e-06,7.877349853515625e-06,0.00011491775512695312
45,9.5367431640625e-07,2.93731689453125e-06,5.9604644775390625e-06
46,1.6689300537109375e-06,3.2520294189453126e-06,6.9141387939453125e-06
47,1.9073486328125e-06,3.528594970703125e-06,6.9141387939453125e-06
48,9.5367431640625e-07,4.26483154296875e-05,0.0009930133819580078
49,1.6689300537109375e-06,2.9659271240234374e-06,5.9604644775390625e-06
50,1.6689300537109375e-06,3.2711029052734377e-06,7.152557373046875e-06
51,9.5367431640625e-07,3.1566619873046876e-06,6.198883056640625e-06
52,1.6689300537109375e-06,7.925033569335938e-06,0.00011587142944335938
53,1.6689300537109375e-06,2.9754638671875e-06,6.9141387939453125e-06
54,1.1920928955078125e-06,3.1948089599609376e-06,6.198883056640625e-06
55,1.6689300537109375e-06,2.7561187744140626e-06,6.198883056640625e-06
56,1.9073486328125e-06,3.3664703369140623e-06,6.198883056640625e-06
57,1.6689300537109375e-06,4.034042358398438e-06,6.9141387939453125e-06
58,1.9073486328125e-06,1.1444091796875e-05,0.0001709461212158203
59,9.5367431640625e-07,1.91497802734375e-05,0.0003960132598876953
60,9.5367431640625e-07,6.198883056640625e-06,9.012222290039062e-05
61,9.5367431640625e-07,3.7670135498046877e-06,2.4080276489257812e-05
62,0.0,2.09808349609375e-06,5.245208740234375e-06
63,7.152557373046875e-07,5.512237548828125e-06,8.392333984375e-05
64,0.0,1.125335693359375e-06,3.814697265625e-06
65,7.152557373046875e-07,2.460479736328125e-06,5.245208740234375e-06
66,0.0,2.0503997802734374e-06,6.198883056640625e-06
67,0.0,2.117156982421875e-06,5.9604644775390625e-06
68,7.152557373046875e-07,1.7070770263671875e-06,4.0531158447265625e-06
69,0.0,2.40325927734375e-06,5.245208740234375e-06
70,0.0,4.31060791015625e-06,6.198883056640625e-05
71,0.0,1.52587890625e-06,5.0067901611328125e-06
72,0.0,2.1266937255859375e-06,5.0067901611328125e-06
73,7.152557373046875e-07,1.964569091796875e-06,5.245208740234375e-06
74,0.0,4.329681396484375e-06,6.794929504394531e-05
75,7.152557373046875e-07,1.888275146484375e-06,4.76837158203125e-06
76,0.0,1.4495849609375e-06,5.0067901611328125e-06
77,0.0,4.100799560546875e-06,6.318092346191406e-05
78,0.0,1.2969970703125e-06,4.0531158447265625e-06
79,0.0,1.64031982421875e-06,5.0067901611328125e-06
80,0.0,2.09808349609375e-06,5.245208740234375e-06
81,0.0,1.5735626220703124e-06,5.0067901611328125e-06
82,0.0,1.468658447265625e-06,4.0531158447265625e-06
83,0.0,1.5354156494140626e-06,4.0531158447265625e-06
84,0.0,4.167556762695313e-06,6.175041198730469e-05
85,0.0,1.7547607421875e-06,4.0531158447265625e-06
